Komentar,Penulis,Likes,Published_at,balasan
w body guard bro,@RATZ-p3f,0,2024-12-02T12:14:50Z,
p,@montoonf9,1,2024-12-02T08:32:05Z,
p,@montoonf9,1,2024-12-02T08:31:56Z,
les go to papua,@montoonf9,1,2024-12-02T08:31:41Z,
black like me ,@SriKandi-y6o,1,2024-12-02T06:44:10Z,
 that girl think ishowspeed is a suck boy,@Dibolang7,1,2024-12-02T04:46:46Z,
,@MuhammadidisumYunussaputra,2,2024-12-02T04:26:09Z,
les go to papua,@MuhammadAliKhoirul,3,2024-12-02T04:24:23Z,mahalin tiket nya
kapan ke papua speed ,@SleSlong,4,2024-12-02T04:22:50Z,
p woi,@ShitaAyulia,5,2024-12-02T04:21:08Z,
,@idiSum,4,2024-12-02T04:19:22Z,
santaii santaii,@montoonf9,4,2024-12-02T04:17:52Z,
wwwwwwwwwwwwwwwwwwwww wwwwwwww wwwwwwwwwwwwww,@catpatterson3937,4,2024-12-02T03:36:03Z,
youre the best youtuber,@catpatterson3937,3,2024-12-02T03:34:13Z,
 keluar tu ijo ijo,@HajiEem-k2e,6,2024-12-01T14:46:36Z,
 my brother with the mask ,@bapatuatuaamat3196,4,2024-12-01T12:50:44Z,
the dogg of streeming,@S68688,4,2024-12-01T10:42:00Z,
speed needs to be in an indonesian horror movie that would be crazy,@ElRosco187,4,2024-12-01T09:42:15Z,
,@HazelCute_29,3,2024-12-01T09:24:08Z,
santaii santaiii,@RenAkagami-i8e,4,2024-12-01T08:12:58Z,
de f que esse cidadao tem problema,@clipesvirais042,4,2024-12-01T04:41:37Z,
ishowspeed in indooonesiiiaaaa yooo,@EgisNatasyazka-zg6be,4,2024-12-01T04:32:27Z,
yoo,@EgisNatasyazka-zg6be,3,2024-12-01T04:30:34Z,
la,@noviphiong7877,2,2024-12-01T03:11:32Z,
yooooooooooooooooooooooooooo,@noviphiong7877,2,2024-12-01T03:11:18Z,
p,@Abidgemmes,2,2024-12-01T03:02:42Z,
omg my hand,@CarolMitchell-l3s,2,2024-11-30T23:48:58Z,
it crazy how poland and indonesia have the same flag,@tongannightcore7321,2,2024-11-30T21:32:38Z,
ada indonesia coyyyy thanks for coming to indonesia,@andikadika7998,1,2024-11-30T15:19:27Z,
wlwkwkwk,@montoonf9,2,2024-11-30T14:04:59Z,
 juta views,@indihome2728-x8c,3,2024-11-30T13:56:55Z,
anjay,@Igletheeagle,2,2024-11-30T13:41:44Z,
selamat datang di indonesia ishou speed semoga bahagia,@HaikalHaikal-f5s,1,2024-11-30T13:34:09Z,
f,@muliyaanggara7250,2,2024-11-30T13:19:43Z,
httpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggarahttpswwwyoutubecommuliyaanggara,@muliyaanggara7250,2,2024-11-30T13:16:21Z,
ayo ke semarang speed,@septiana7423,2,2024-11-30T12:28:03Z,
aku dari indonesia,@barusasa,2,2024-11-30T07:56:02Z,
etwuekdkdkh,@barusasa,1,2024-11-30T07:55:25Z,
dudhuddhd,@barusasa,1,2024-11-30T07:55:14Z,
now i wanna to to indo,@harryshorts9,1,2024-11-30T03:57:22Z,
come to emory university,@kevinbrown7406,0,2024-11-30T03:47:54Z,
httpsyoutubejaplalwiu all in under mins mini vlog,@Todaysviral9,0,2024-11-29T21:33:07Z,
history,@banksspend,0,2024-11-29T17:54:57Z,
medy renaldi,@Arya.dzaka_animation,0,2024-11-29T13:23:57Z,
wkwkkw,@tommyarmandosimangunsong5441,0,2024-11-29T13:15:59Z,
what if speed doesnt have bodyguard ,@KenliungChai,0,2024-11-29T13:13:09Z,
man ishowspeed was in the horror park,@carolinasetiawatiphaing7737,0,2024-11-29T13:13:05Z,
indonesia ,@montoonf9,1,2024-11-29T13:04:24Z,
,@montoonf9,1,2024-11-29T08:41:53Z,
 arap ngakakkkk wkowkkowkkwkow arap ngakakkk lagi kowokwokowkoowkok,@AwiHaddad-c1d,0,2024-11-29T07:06:35Z,
thank you for visiting my country,@chuanguyen7424,0,2024-11-29T06:11:03Z,
,@montoonf9,1,2024-11-29T03:35:26Z,
,@semmanjanuary,0,2024-11-29T00:25:14Z,hahahha
 ,@semmanjanuary,1,2024-11-29T00:19:47Z,hahahha
,@semmanjanuary,0,2024-11-29T00:16:54Z,hahahha
the most live views ,@arysofficial2772,0,2024-11-28T23:38:39Z,
 we can tell that musician is a real deal from his deformed hands by playing that instrument kudos,@copicopi805,0,2024-11-28T19:44:40Z,
minggir lu miskin,@rohimahaaf7710,1,2024-11-28T16:50:28Z,
go to italy pls for me or new jersey,@seandowdell8666,0,2024-11-28T15:10:21Z,
,@montoonf9,1,2024-11-28T14:25:00Z,
,@numbb2,0,2024-11-28T13:19:59Z,
minggir lu miskin santai awas kata yg masih dibawa ishowspeed sampe sekarang kapan kesini lagi speed,@shofwannaufal4881,1,2024-11-28T12:53:52Z,
wow,@djauharsuryani3201,0,2024-11-28T11:24:23Z,
thankyou coming to indonesia,@muhammadafifnaparin5005,1,2024-11-28T04:44:50Z,
,@syafaquu6331,1,2024-11-28T00:15:22Z,
sorry im late for texting its like apawhat kamuyou that is two words and im from indonesia like kamu siapa who are you d,@mitrasuksesberjaya1464,0,2024-11-27T23:44:32Z,
that man said dont touch the ghost but speed carries them ,@ellerinasofia,1,2024-11-27T16:36:05Z,
ive subscribed to speed please i want to travel around the world with you can we do it together,@KG-Julibaelah,1,2024-11-27T14:11:33Z,
speed i want you to come to my house the name is kampung nambo,@KG-Julibaelah,0,2024-11-27T14:09:39Z,
,@monicasalsabilla1400,0,2024-11-27T13:45:43Z,
ende mingir lu miskin,@anisuryani769,0,2024-11-27T10:12:53Z,
 million,@JCoole-zf3tt,1,2024-11-27T10:06:56Z,
