Komentar,Penulis,Likes,Published_at,balasan,label_judol,label_sentiment
"['why', 'is', 'here', 'so', 'much', 'frickn', 'bot']",@keep_dakwah24434.,0,2024-09-18T13:20:17Z,,0,2
"['the', 'meaning', 'of', 'everything', 'you', 'call', 'the', 'real', 'one', 'step', 'aside', 'you', 'poor', 'watch', 'out', 'relax', 'devil', 'thats', 'the', 'english', 'meaning', 'you', 'call', 'it']",@SakiRiski-e9o,0,2024-10-08T13:17:07Z,,0,2
"['lupa', 'main', 'dewi', 'situs', 'percaya']",@MarthaRosar,0,2024-09-18T14:32:13Z,,0,2
"['this', 'stream', 'was', 'nice', 'but', 'im', 'gon', 'na', 'need', 'namis']",@SleepyDogg,2,2024-09-19T06:16:55Z,,0,2
"['if', 'bro', 'step', 'up', 'for', 'indonesian', 'president', 'election', 'i', 'think', 'he', 'got', 'a', 'chance', 'to', 'win', 'it', 'we', 'sometimes', 'exagerated', 'we', 'idolize', 'and', 'adore', 'someone', 'to', 'the', 'highest', 'skyand', 'we', 'hate', 'someone', 'and', 'burry', 'em', 'to', 'the', 'deepest', 'layer', 'of', 'the', 'earth']",@sabda.saratustra,2,2024-09-18T23:45:35Z,,0,2
"['thank', 'you', 'so', 'much', 'for', 'visit', 'my', 'country', 'we', 'love', 'you', 'speed']",@Araman1945,0,2024-09-18T13:20:56Z,,0,2
"['web', 'baik']",@JuanArmando-j9c,0,2024-09-24T10:10:26Z,,0,2
"['m', 'likes']",@lavamonster6384,0,2024-09-19T11:40:15Z,,0,2
"['w', 'indonesian', 'brothersss', 'greetings', 'from', 'ph']",@adrian56837,1,2024-09-18T15:25:21Z,,0,2
"['lupa', 'main', 'dewi', 'situs', 'percaya']",@AtticusGayle,0,2024-09-18T14:35:16Z,,0,2
"['hour', 'm']",@andikadik4818,1,2024-09-18T13:28:01Z,,0,2
"['yo', 'ishownigga', 'i', 'sub', 'to', 'your', 'videos', 'and', 'like', 'i', 'like', 'it', 'make', 'a', 'video', 'in', 'american']",@zanetamayo4279,0,2024-09-20T12:50:26Z,,0,2
"['please', 'explore', 'all', 'indonesian', 'cities']",@YusaRatna1506,0,2024-09-22T11:22:58Z,,0,2
"['l', 'country']",@fakyosp,0,2024-09-18T14:48:25Z,,0,2
['welcomeeeeeeee'],@Selsadwistbajia,0,2024-09-18T13:30:13Z,,0,2
"['stream', 'zombie', 'apocalypse']",@worldspeed-t,5,2024-09-18T13:21:24Z,worldspeedt indonesiaamerica biased,0,1
"['spam', 'double', 'u', 'w', 'ih', 'here']",@BocilWindahAwoakawok,1,2024-09-19T07:57:37Z,,0,2
"['lupa', 'main', 'dewi', 'situs', 'percaya']",@PauleneeDiaz,0,2024-09-18T14:22:08Z,,0,2
"['moment', 'before', 'disaster', 'bro', 'noticed', 'the', 'green', 'apple', 'santai', 'gk', 'respek', 'banget', 'wo', 'last', 'green', 'apple']",@TLH_Legit,6,2024-09-18T14:08:25Z,,0,2
"['batik', 'from', 'indonesian', 'dont', 'malaysia']",@bobzmo6045,1,2024-09-19T18:44:33Z,poor english,0,0
"['good', 'broo']",@muhammadrisqiii1638,0,2024-09-18T14:32:07Z,,0,2
"['w', 'speed']",@mohiksan3718,0,2024-09-19T04:49:22Z,,0,2
"['speed', 'dont', 'forget', 'to', 'stop', 'by', 'yogyakarta', 'and', 'bal']",@firnandafirman4617,0,2024-09-18T15:22:46Z,,0,2
"['broo', 'm', 'in', 'hrs', 'wtfw', 'w', 'w', 'indo']",@ReelYutty,1,2024-09-19T07:08:42Z,,0,2
"['stay', 'safe', 'speed']",@n1ervaa,1,2024-09-18T15:45:07Z,,0,2
"['reza', 'arap', 'npc']",@impact_cut,0,2024-09-18T17:01:58Z,,0,2
"['the', 'first', 'comment', 'on', 'the', 'stream', 'with', 'the', 'most', 'views']",@JoldasovAlisher,1,2024-09-18T13:19:57Z,"yes sirr yea i almost screenshot on footage dont read my name this is crazyyy  fr 
bro actually broke youtube i got it this is indonesian nice stream w yes suriptozkno this is world thiss iss indonesia netizent bro this is indonesia what do you expect to most populated southeast asian country this is indonesia wow mntp menyala this country are full of fomo broo good job indonesia indonesia power the best stream langsung  juta viewer cik noxyzzgamingthis is indonesiaaaa zombies this is indonesia bro thank my nation reikokeikei iven fomo its good for speed dude, come one fr bro noxyzzgaming cry malingsial indonesian is over proud people what do you expect to most populated southeast asia and most unemployed country in the world the capital of social media travisscottqdvqmalaydesh nice nope indonesian viewers being crazy nope more than  million people were watching on india chandrayan ii space  live indonesia",0,1
"['speed', 'gets', 'm', 'views', 'on', 'stream']",@bayu8726,1,2024-09-18T13:26:27Z,,0,2
"['speed', 'do', 'you', 'play', 'mobile', 'legend']",@Nief-sukagame,0,2024-09-18T14:32:37Z,,0,2
"['kominfo', 'malumaluin', 'internet', 'ngelag', 'judol', 'dimanamana']",@wirogcodot5446,0,2024-09-19T06:57:34Z,,0,2
"['menit', 'malaydesh', 'ngak', 'terima', 'rendang', 'masakan', 'mang', 'padang', 'indonesia']",@jody1280,2,2024-09-18T13:43:21Z,,0,2
"['santai', 'santai', 'santai']",@KorekApi-mf5xn,1,2024-09-19T12:14:47Z,,0,2
"['rotten', 'green', 'apple']",@DineroBags,32,2024-09-18T13:21:59Z,,0,2
"['tukang', 'ipon', 'muncul', 'wkwkwk']",@zakupertama4521,3,2024-09-20T23:39:38Z,itu siapa bg,0,2
"['gabut', 'org', 'indo']",@AimAbdulkarim-o7t,1,2024-09-18T13:26:19Z,,0,2
"['udah', 'neng', 'ishowspeed', 'indo', 'penggem', 'nya', 'kek', 'giini', 'malu', 'maluin', 'niat', 'speed', 'nikmat', 'indo', 'ujung', 'gin', 'hadeh']",@UnciousPerson,2,2024-09-18T20:30:35Z,,0,2
"['this', 'is', 'insane']",@bluebubblezio1137,1,2024-09-19T00:06:23Z,,0,2
"['ong', 'nobody', 'nobody', 'doing', 'it', 'like', 'speed', 'and', 'thats', 'the', 'truthh']",@ETH991,1,2024-09-18T21:25:57Z,,0,2
