Komentar,Penulis,Likes,Published_at,balasan,label_judol,label_sentiment
"['sayang', 'nya', 'yg', 'bahasa', 'inggris', 'indo', 'jarang', 'banget']",@alnoor9015,0,2024-09-18T13:40:43Z,banyak tp yg ketemu speed bocah fomo tolol ga ngerti inggris tp sok asik,0,0
"['ishowspeed', 'can', 'you', 'come', 'to', 'surabaya', 'i', 'will', 'wait', 'for', 'you']",@Kxtzyee,0,2024-09-18T14:49:43Z,,0,2
"['sped', 'bantu', 'palestina', 'buka', 'donasi', 'palestina']",@bondanchampion,0,2024-09-19T03:45:22Z,,0,2
"['w', 'speed', 'gang']",@ohcodex,1,2024-09-19T08:49:10Z,,0,2
"['bring', 'nami', 'back']",@reynathan2092,0,2024-09-18T13:20:38Z,,0,2
"['wtf', 'm', 'view']",@thisisAlprad,1,2024-09-18T13:44:35Z,,0,2
"['the', 'best', 'irl', 'stream']",@Luffyluffy-f3b,0,2024-09-18T14:16:05Z,,0,2
"['streaming', 'tonton', 'indonesia']",@BahayaSihhh,567,2024-09-19T04:03:20Z,"the biggest stream for ishowspeed wey bang dia dari amerika lu belum tau dewa kipas stream di yt dedy corbuzier  itu juga tembus  jt view dewa kipas , kalo gk salah ryanvznmya sama ke azka vs vicky prasetyo yg nonton tembus jt konohajuta ke ats malahan seinget gua sangat memalukan orang indonesia yang gk bisa di atur sudah kayak zombie membludak manusia nya ,dimana daerah yg di kunjungi speed jgn sampe memalukan begini gila udah kaya lautan manusia takut nya dia trauma sama indoensia kalo membeludak benget njir rame nya gak bisa di atur kasian itu speed nya konohakonoha nama lu bro konoha miskins mekshaaqlatemelayu tuh yang banyak rohingya kee, miskin tuh org kat sane, yg kaya hanya orang china dan indianya sahaja owakcxphaseandpenonton indonesia pikir lah di indo berapa million manusia hidup sudah pasti byk view  negara besar banyak view  negara kecil sedikit view  pikir pakei otak sixyl kok nge gas gw salah apa kocak sixylluas wilayah indonesia dengan amerika aja masih luas amerika kocak, apalagi jumlah penduduk, indonesia rame di sosmed karena punya banyak netizen pikir pake otak goublok ya selain itu ini views terbanyak di live ishowspeed mekshaaqlatemalaydesh jealous sir batik sir banyakan byon tlol fomo gblk sixyl pikir lah pake otak jga, amerika dan india jga penduduknya lebih banyak dari indonesia, tapi ga nyampe  juta live views kami serumpun",0,1
"['mf', 'with', 'headphone']",@pexnoxal13,0,2024-09-18T19:02:12Z,,0,2
['what'],@andreydiansyah6788,0,2024-09-21T06:02:05Z,,0,2
"['im', 'glad', 'im', 'one', 'of', 'the', 'people', 'that', 'commented', 'early', 'on', 'this', 'overwhelming', 'visit']",@JanAndrewAmador,0,2024-09-18T14:04:12Z,,0,2
['record'],@Zafanaa07,0,2024-09-21T05:11:42Z,,0,2
"['king', 'indo']",@AlergiMicin69,0,2024-09-19T05:31:28Z,,0,2
"['lupa', 'main', 'dewi', 'situs', 'percaya']",@AngusGower,0,2024-09-18T14:24:43Z,,1,2
"['gog', 'gogg']",@jaychanel9561,0,2024-09-20T11:12:18Z,,0,2
"['ga', 'ken', 'terjemahin', 'indonesia', 'gitu']",@ratnadewi4843,0,2024-09-19T08:20:45Z,klik cc di kanan atas di cc ada tu terjemah otomatis pilih terjemah ke indo,0,2
"['sir', 'money', 'sir', 'bruhhh', 'wtf', 'was', 'that']",@uzikar98k12,0,2024-09-19T11:45:47Z,,0,2
"['we', 'need', 'part']",@wahidinfinix,0,2024-09-19T03:25:24Z,,0,2
"['he', 'likes', 'nami', 'so', 'much']",@evissi,0,2024-09-18T13:23:04Z,,0,2
"['lupa', 'main', 'dewi', 'situs', 'percaya']",@AidensBaird,0,2024-09-18T14:30:31Z,,0,2
"['viewers', 'indonesia']",@andan666,0,2024-09-20T18:54:02Z,,0,2
"['chill', 'out', 'saada']",@SPEEDNALDO71,0,2024-09-18T18:40:17Z,,0,2
['lucuuuu'],@linaseptia1334,0,2024-09-20T04:53:41Z,,0,2
['good'],@Rey-un2pf,0,2024-09-19T17:23:00Z,,0,2
"['help', 'him', 'when', 'going', 'to', 'the', 'horror', 'house', 'is', 'so', 'funny']",@Kieraa_luvu,2,2024-09-27T12:40:53Z,,0,2
"['gonzalez', 'shirley', 'hernandez', 'sarah', 'thompson', 'david']",@CharlesHarris-r6d,0,2024-09-18T14:40:26Z,,0,2
